iteration,mean_reward
0,66.9585
1,50.1748
2,55.0185
3,59.4805
4,60.2371
5,67.7648
6,69.5122
7,76.6687
8,84.4136
9,86.6460
10,97.4865
11,100.5279
12,113.6092
13,111.7858
14,115.9663
15,118.3218
16,123.6603
17,122.1415
18,122.5091
19,124.5800
20,129.3562
21,131.6876
22,128.5800
23,134.5986
24,136.9443
25,138.8127
26,136.3132
27,140.5510
28,140.5755
29,148.1545
30,142.0219
31,138.0019
32,140.7792
33,140.7003
34,143.5064
35,150.0178
36,144.7395
37,147.2782
38,159.2468
39,156.3671
40,163.0895
41,161.2281
42,161.0273
43,162.5701
44,164.6797
45,164.2543
46,162.0501
47,169.1252
48,171.3444
49,174.1589
50,167.6352
51,166.5224
52,182.3873
53,175.6461
54,176.5303
55,181.9990
56,183.5139
57,185.6729
58,188.7920
59,194.9157
60,198.6639
61,195.9010
62,213.8759
63,197.2807
64,207.2643
65,206.2505
66,208.0658
67,209.1665
68,210.0853
69,220.0711
70,216.9945
71,230.2899
72,221.5479
73,217.2388
74,237.9470
75,241.4879
76,246.1417
77,254.1815
78,252.2471
79,266.0355
80,273.8632
81,261.9083
82,279.0544
83,283.0377
84,303.7221
85,291.2046
86,294.4751
87,297.9738
88,303.0960
89,298.6994
90,320.3692
91,322.8379
92,334.5518
93,328.7483
94,344.7275
95,347.2155
96,340.5041
97,362.6701
98,342.7525
99,363.1983
100,373.2047
101,407.3076
102,380.9950
103,394.3365
104,416.1447
105,416.5973
106,419.4788
107,429.4981
108,419.7551
109,428.4315
110,463.6144
111,468.9370
112,482.5681
113,483.9601
114,529.1304
115,524.5837
116,514.1946
117,531.1351
118,487.7697
119,552.7285
120,545.7695
121,533.2063
122,548.1870
123,587.8947
124,603.2755
125,624.6949
126,642.9453
127,614.5244
128,653.8973
129,685.4509
130,663.3746
131,690.9354
132,726.9505
133,686.2489
134,747.7502
135,736.4559
136,802.4747
137,727.2165
138,797.8644
139,812.4601
140,842.1501
141,880.0506
142,842.9428
143,932.2749
144,983.9219
145,953.0123
146,988.0267
147,994.3273
148,1036.8138
149,1112.1251
150,1224.3757
151,1121.7980
152,1207.4724
153,1100.6697
154,1222.2019
155,1272.5359
156,1296.0587
157,1375.4259
158,1378.3081
159,1400.5057
160,1363.9000
161,1608.3750
162,1579.3708
163,1495.5555
164,1603.9855
165,1676.6956
166,1689.5649
167,1840.1880
168,1720.5798
169,1745.8312
170,1845.8673
171,1959.7847
172,2033.7301
173,2005.3108
174,1983.0121
175,1907.6951
176,1994.8702
177,2121.1194
178,2217.4158
179,2174.5481
180,2246.9370
181,2329.7532
182,2208.5232
183,2422.1250
184,2406.6311
185,2549.7615
186,2525.5461
187,2499.2751
188,2611.7673
189,2721.7883
190,2645.0828
191,2621.0718
192,2691.5996
193,2694.2688
194,2773.8809
195,2903.9197
196,2872.4331
197,2929.9087
198,3046.9668
199,3035.7332
200,3089.8213
201,3183.6184
202,3065.5740
203,3073.0178
204,3305.2625
205,3337.6353
206,3311.2649
207,3183.7192
208,3159.6384
209,3311.3291
210,3373.1919
211,3479.2539
212,3312.2629
213,3442.7278
214,3555.0183
215,3548.7458
216,3555.0981
217,3468.8193
218,3465.4749
219,3438.2168
220,3521.7192
221,3531.9331
222,3429.0005
223,3555.4185
224,3625.2212
225,3546.7424
226,3582.4211
227,3564.0654
228,3657.3799
229,3747.7825
230,3763.7402
231,3608.8174
232,3627.1462
233,3692.4155
234,3824.7769
235,3851.7000
236,3810.9744
237,3855.4727
238,3709.7119
239,3703.6318
240,3809.0195
241,3891.1978
242,3805.7332
243,3962.8118
244,3987.2009
245,3764.1926
246,3886.7861
247,3926.4050
248,3936.7439
249,3921.1887
250,3885.8372
251,4026.5898
252,4014.4121
253,4045.2458
254,3892.2537
255,4009.6719
256,3904.5596
257,3905.9546
258,3890.7959
259,3976.6140
260,4099.9863
261,4107.8770
262,4027.0586
263,3998.8406
264,4109.0098
265,4063.8008
266,4059.5552
267,3962.4734
268,4118.6562
269,4008.1868
270,4112.3867
271,4193.6040
272,4207.4976
273,4002.5037
274,4238.4688
275,4272.2964
276,4029.4246
277,4188.6636
278,3993.1279
279,4246.4663
280,4309.8940
281,4219.5420
282,4203.8999
283,4262.2207
284,4309.5278
285,4411.3623
286,4380.8198
287,4317.3623
288,4346.3726
289,4259.0508
290,4236.0732
291,4295.3936
292,4389.2559
293,4250.1792
294,4410.3042
295,4354.7578
296,4309.2192
297,4408.7397
298,4341.0342
299,4443.9395
300,4500.6929
301,4442.2729
302,4495.7939
303,4419.5420
304,4382.7974
305,4540.0034
306,4499.9399
307,4554.2939
308,4671.1611
309,4501.0947
310,4400.5498
311,4535.8193
312,4686.3008
313,4561.9595
314,4555.1992
315,4435.3022
316,4489.1338
317,4519.1748
318,4555.0044
319,4651.2549
320,4487.4297
321,4558.8057
322,4575.7593
323,4590.6123
324,4710.5830
325,4643.3223
326,4626.8203
327,4470.5029
328,4498.0488
329,4652.8179
330,4670.1743
331,4654.9937
332,4765.2788
333,4674.3145
334,4698.1362
335,4805.6875
336,4722.4487
337,4700.6919
338,4690.2451
339,4729.0347
340,4729.4438
341,4690.7964
342,4806.4092
343,4682.9946
344,4790.1255
345,4728.1416
346,4771.8140
347,4770.4429
348,4590.5815
349,4836.2988
350,4754.9204
351,4741.3257
352,4849.8535
353,4786.5596
354,4798.0688
355,4829.6641
356,4940.0078
357,4813.5723
358,4880.7715
359,4943.6113
360,4906.1587
361,4812.2603
362,4891.7734
363,4909.8379
364,4820.3726
365,4906.4185
366,4850.1201
367,4924.2251
368,4809.1489
369,4805.1050
370,4919.8521
371,4936.3281
372,4995.6431
373,5136.6548
374,5065.7148
375,5089.8896
376,5070.2031
377,4970.7461
378,5045.8120
379,4980.2188
380,5093.7056
381,4997.8652
382,5061.6675
383,4977.2798
384,5034.6411
385,5028.0469
386,5114.1357
387,5160.0186
388,4953.4028
389,4988.6416
390,4929.0073
391,4925.6514
392,5069.0786
393,4984.4346
394,4862.2544
395,5130.7944
396,5176.6860
397,5109.9312
398,4930.6069
399,4991.2061
